Original Title,Title on Google Scholar,DOI,Year,Citation Link,Citation Counts on Google Scholar,orig_t_processed,gscholar_t_processed,simi_score
"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports",Random optimization,10.1093/joc/jqab051,2022,"https://scholar.google.com/scholar?cites=16237036322479766335&as_sdt=5,50&sciodt=0,50&hl=en",565,girlgamers soldiers and public relations analyzing gender representation in u s army esports,random optimization,0.21621621621621623
What Does #Freedom Look Like? Instagram and the Visual Imagination of Values,[HTML] How does foreign direct investment affect economic growth?,10.1093/joc/jqab021,2021,"https://scholar.google.com/scholar?cites=1792035769798986786&as_sdt=5,50&sciodt=0,50&hl=en",10280,what does freedom look like instagram and the visual imagination of values,html how does foreign direct investment affect economic growth,0.3088235294117647
"Intellectuals Debate #MeToo in China: Legitimizing Feminist Activism, Challenging Gendered Myths, and Reclaiming Feminism",[BOOK] European stories: Intellectual debates on Europe in national contexts,10.1093/joc/jqaa033,2020,"https://scholar.google.com/scholar?cites=6853870533933536006&as_sdt=5,50&sciodt=0,50&hl=en",132,intellectuals debate metoo in china legitimizing feminist activism challenging gendered myths and reclaiming feminism,book european stories intellectual debates on europe in national contexts,0.3894736842105263
"Past Debates, Fresh Impact on Nano-Enabled Food: A Multigroup Comparison of Presumed Media Influence Model Based on Spillover Effects of Attitude Toward Genetically Modified Food","Past debates, fresh impact on nano-enabled food: A multigroup comparison of presumed media influence model based on spillover effects of attitude toward …",10.1093/joc/jqaa019,2020,"https://scholar.google.com/scholar?cites=13485155294610962216&as_sdt=5,50&sciodt=0,50&hl=en",15,past debates fresh impact on nano enabled food a multigroup comparison of presumed media influence model based on spillover effects of attitude toward genetically modified food,past debates fresh impact on nano enabled food a multigroup comparison of presumed media influence model based on spillover effects of attitude toward,0.9202453987730062
"Toward an Aggregate, Implicit, and Dynamic Model of Norm Formation: Capturing Large-Scale Media Representations of Dynamic Descriptive Norms Through Automated and Crowdsourced Content Analysis","Toward an aggregate, implicit, and dynamic model of norm formation: Capturing large-scale media representations of dynamic descriptive norms through automated …",10.1093/joc/jqz033,2019,"https://scholar.google.com/scholar?cites=2660041350042795564&as_sdt=5,50&sciodt=0,50&hl=en",13,toward an aggregate implicit and dynamic model of norm formation capturing large scale media representations of dynamic descriptive norms through automated and crowdsourced content analysis,toward an aggregate implicit and dynamic model of norm formation capturing large scale media representations of dynamic descriptive norms through automated,0.9011627906976745
"Time to #Protest: Selective Exposure, Cascading Activation, and Framing in Social Media",The unreality of time,10.1093/joc/jqy007,2018,"https://scholar.google.com/scholar?cites=15920151430574857517&as_sdt=5,50&sciodt=0,50&hl=en",2580,time to protest selective exposure cascading activation and framing in social media,the unreality of time,0.07692307692307693
#CommunicationSoWhite,Random optimization,10.1093/joc/jqy003,2018,"https://scholar.google.com/scholar?cites=16237036322479766335&as_sdt=5,50&sciodt=0,50&hl=en",565,communicationsowhite,random optimization,0.46153846153846156
"Should Altruism, Solidarity, or Reciprocity be Used as Prosocial Appeals? Contrasting Conceptions of Members of the General Public and Medical Professionals Regarding Promoting Organ Donation","Should altruism, solidarity, or reciprocity be used as prosocial appeals? Contrasting conceptions of members of the general public and medical professionals …",10.1111/jcom.12267,2016,"https://scholar.google.com/scholar?cites=14013244324729181691&as_sdt=5,50&sciodt=0,50&hl=en",19,should altruism solidarity or reciprocity be used as prosocial appeals contrasting conceptions of members of the general public and medical professionals regarding promoting organ donation,should altruism solidarity or reciprocity be used as prosocial appeals contrasting conceptions of members of the general public and medical professionals,0.8973607038123167
Hijacking #MYNYPD: Social Media Dissent and Networked Counterpublics,[BOOK] Hijacking sustainability,10.1111/jcom.12185,2015,"https://scholar.google.com/scholar?cites=6537464878406959375&as_sdt=5,50&sciodt=0,50&hl=en",261,hijacking mynypd social media dissent and networked counterpublics,book hijacking sustainability,0.29473684210526313
"Fear and Anger Responses to Local News Coverage of Alcohol-Related Crimes, Accidents, and Injuries: Explaining News Effects on Policy Support Using a Representative Sample of Messages and People","Fear and anger responses to local news coverage of alcohol-related crimes, accidents, and injuries: Explaining news effects on policy support using a representative …",10.1111/jcom.12020,2013,"https://scholar.google.com/scholar?cites=2353302826935641087&as_sdt=5,50&sciodt=0,50&hl=en",65,fear and anger responses to local news coverage of alcohol related crimes accidents and injuries explaining news effects on policy support using a representative sample of messages and people,fear and anger responses to local news coverage of alcohol related crimes accidents and injuries explaining news effects on policy support using a representative,0.9147727272727273
"Theoretical Intersections Among Social Influences, Beliefs, and Intentions in the Context of 3G Mobile Services in Singapore: Decomposing Perceived Critical Mass and Subjective Norms","Theoretical intersections among social influences, beliefs, and intentions in the context of 3G mobile services in Singapore: Decomposing perceived critical mass and …",10.1111/j.1460-2466.2010.01532.x,2011,"https://scholar.google.com/scholar?cites=1575382112978635663&as_sdt=5,50&sciodt=0,50&hl=en",62,theoretical intersections among social influences beliefs and intentions in the context of g mobile services in singapore decomposing perceived critical mass and subjective norms,theoretical intersections among social influences beliefs and intentions in the context of g mobile services in singapore decomposing perceived critical mass and,0.9498525073746312
A New Look at Agenda-Setting Effects—Comparing the Predictive Power of Overall Political News Consumption and Specific News Media Consumption Across Different Media Channels and Media Types,A new look at agenda-setting effects—Comparing the predictive power of overall political news consumption and specific news media consumption across different …,10.1111/j.1460-2466.2010.01482.x,2010,"https://scholar.google.com/scholar?cites=11492758225301165209&as_sdt=5,50&sciodt=0,50&hl=en",111,a new look at agenda setting effects comparing the predictive power of overall political news consumption and specific news media consumption across different media channels and media types,a new look at agenda setting effects comparing the predictive power of overall political news consumption and specific news media consumption across different,0.9106628242074928
"A Test of Rivaling Approaches to Explain News Effects: News on Issue Positions of Parties, Real-World Developments, Support and Criticism, and Success and Failure","A test of rivaling approaches to explain news effects: A multi-wave panel study of agenda setting, social and economic conditions, the tone of the news, and horse race …",10.1111/j.1460-2466.2007.00347.x,2007,"https://scholar.google.com/scholar?cites=10844646965792526704&as_sdt=5,50&sciodt=0,50&hl=en",1,a test of rivaling approaches to explain news effects news on issue positions of parties real world developments support and criticism and success and failure,a test of rivaling approaches to explain news effects a multi wave panel study of agenda setting social and economic conditions the tone of the news and horse race,0.5171339563862928
Visual Elements in Public Journalism Newspapers in an Election: A Content Analysis of the Photographs and Graphics in Campaign 2000,[PDF] Use of visual communication in public journalism,10.1111/j.1460-2466.2004.tb02639.x,2004,"https://scholar.google.com/scholar?cites=15698600413356394263&as_sdt=5,50&sciodt=0,50&hl=en",22,visual elements in public journalism newspapers in an election a content analysis of the photographs and graphics in campaign,use of visual communication in public journalism,0.3583815028901734
