source,target,value
M_White,F_White,906
F_White,M_White,741
M_Asian,M_White,159
M_White,M_Asian,126
M_White,F_Asian,122
F_Asian,M_White,117
F_Asian,F_White,90
F_White,F_Asian,78
F_Asian,M_Asian,75
M_Asian,F_Asian,67
M_Asian,F_White,66
F_White,M_Asian,55
M_Hispanic,M_White,41
M_White,F_Hispanic,38
M_White,M_Hispanic,28
F_White,M_Hispanic,24
F_White,F_Hispanic,24
F_Hispanic,F_White,21
M_Hispanic,F_White,21
F_White,F_Black,21
F_Hispanic,M_White,19
M_White,M_Black,17
M_White,F_Black,16
M_White,M_Middle Eastern,15
M_White,F_Middle Eastern,13
F_White,M_Black,12
F_Middle Eastern,F_White,11
M_Middle Eastern,F_White,11
M_Black,M_White,10
F_Hispanic,M_Hispanic,10
M_Asian,M_Hispanic,9
M_Black,F_White,9
M_Middle Eastern,M_White,9
F_Middle Eastern,M_White,8
F_Hispanic,F_Asian,7
F_Black,F_White,6
M_Hispanic,M_Asian,6
M_Hispanic,F_Hispanic,6
M_Asian,F_Hispanic,6
F_Asian,M_Hispanic,5
F_Asian,F_Hispanic,5
M_White,F_Indigenous,5
M_Hispanic,F_Asian,5
F_Hispanic,M_Asian,5
F_White,F_Indigenous,5
F_Asian,M_Black,4
F_White,M_Middle Eastern,4
F_Asian,M_Middle Eastern,4
F_Black,M_White,4
F_Middle Eastern,F_Asian,4
F_White,F_Middle Eastern,3
M_Asian,F_Middle Eastern,3
F_Asian,F_Black,3
M_Black,F_Asian,3
M_Middle Eastern,F_Middle Eastern,3
M_Asian,F_Black,2
F_Indigenous,M_White,2
M_Indigenous,F_White,2
F_Black,F_Hispanic,2
M_White,M_Indigenous,2
F_Middle Eastern,M_Middle Eastern,2
M_Asian,M_Middle Eastern,2
F_Black,M_Hispanic,1
M_Indigenous,M_White,1
N_White,F_White,1
F_Indigenous,F_Black,1
M_Hispanic,F_Black,1
N_White,M_Hispanic,1
F_Indigenous,M_Asian,1
F_Indigenous,F_White,1
F_Indigenous,F_Asian,1
M_Black,F_Black,1
F_Hispanic,F_Black,1
F_Black,M_Asian,1
F_Black,M_Black,1
M_White,N_Hispanic,1
F_Black,M_Middle Eastern,1
M_Middle Eastern,M_Asian,1
F_Asian,F_Middle Eastern,1
F_Middle Eastern,M_Asian,1
M_Middle Eastern,F_Asian,1
N_Asian,F_Black,1
N_Asian,F_Hispanic,1
M_Asian,M_Black,1
