authorID,new_country_code,new_afftype,gender_prediction,race_prediction,race
10.1093/jcmc/zmab019+4.0,AT,Education,F,0.0,White
10.1093/jcmc/zmab019+5.0,AT,Education,F,0.0,White
10.1093/joc/jqab052+5.0,US,Education,F,2.0,Asian
10.1093/ccc/tcac007+1.0,CN,Education,F,0.0,White
10.1093/joc/jqac012+4.0,US,Education,M,0.0,White
10.1093/joc/jqab052+12.0,US,Education,F,2.0,Asian
10.1093/ccc/tcab045+1.0,GE,Education,F,3.0,Hispanic
10.1093/hcr/hqab020+3.0,NL,Education,M,2.0,Asian
10.1093/hcr/hqac004+1.0,NL,Education,F,0.0,White
10.1093/hcr/hqab014+2.0,US,Education,M,0.0,White
10.1093/joc/jqab048+2.0,US,Education,F,3.0,Hispanic
10.1093/joc/jqab024+3.0,NL,Education,M,0.0,White
10.1093/joc/jqab046+3.0,CN,Education,M,2.0,Asian
10.1093/hcr/hqab020+1.0,GB,Education,M,0.0,White
10.1093/joc/jqac001+1.0,US,Education,M,0.0,White
10.1093/joc/jqac002+2.0,GB,Education,M,0.0,White
10.1093/joc/jqac011+1.0,US,Education,M,0.0,White
10.1093/ct/qtab011+3.0,US,Non Education,M,0.0,White
10.1093/joc/jqab052+17.0,US,Education,F,2.0,Asian
10.1093/joc/jqac011+3.0,SG,Education,M,0.0,White
10.1093/ccc/tcab065+1.0,US,Education,M,0.0,White
10.1093/joc/jqac011+2.0,US,Education,M,0.0,White
10.1093/jcmc/zmac004+1.0,US,Education,F,0.0,White
10.1093/ccc/tcac009+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmab015+4.0,NL,Education,F,0.0,White
10.1093/jcmc/zmac006+2.0,CN,Education,F,2.0,Asian
10.1093/hcr/hqab018+1.0,US,Education,F,2.0,Asian
10.1093/hcr/hqab017+3.0,US,Education,F,0.0,White
10.1093/ct/qtab011+5.0,US,Non Education,F,0.0,White
10.1093/joc/jqab052+14.0,US,Education,F,0.0,White
10.1093/joc/jqab052+4.0,US,Education,F,0.0,White
10.1093/joc/jqab051+1.0,US,Education,F,0.0,White
10.1093/joc/jqab052+10.0,US,Education,F,2.0,Asian
10.1093/joc/jqab044+5.0,US,Education,F,1.0,Black
10.1093/hcr/hqac002+1.0,US,Education,M,0.0,White
10.1093/joc/jqab054+2.0,CH,Education,F,3.0,Hispanic
10.1093/hcr/hqac012+4.0,US,Education,M,2.0,Asian
10.1093/joc/jqac012+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmac005+2.0,US,Education,F,0.0,White
10.1093/jcmc/zmac006+1.0,CN,Education,F,2.0,Asian
10.1093/joc/jqab046+2.0,KR,Education,M,2.0,Asian
10.1093/hcr/hqab021+2.0,US,Education,F,0.0,White
10.1093/jcmc/zmab019+1.0,SG,Education,F,2.0,Asian
10.1093/joc/jqab043+2.0,US,Education,F,0.0,White
10.1093/ccc/tcac010+1.0,NL,Education,F,0.0,White
10.1093/joc/jqab052+15.0,US,Education,M,2.0,Asian
10.1093/ccc/tcac011+1.0,AU,Education,M,2.0,Asian
10.1093/hcr/hqac003+1.0,IL,Education,F,0.0,White
10.1093/hcr/hqab016+1.0,US,Education,M,0.0,White
10.1093/ct/qtaa035+1.0,US,Education,M,0.0,White
10.1093/ct/qtab003+2.0,CH,Education,M,0.0,White
10.1093/jcmc/zmac003+1.0,CN,Education,M,2.0,Asian
10.1093/ccc/tcab049+1.0,US,Education,M,0.0,White
10.1093/ct/qtab008+3.0,IL,Education,F,0.0,White
10.1093/ccc/tcac013+2.0,NL,Education,F,0.0,White
10.1093/hcr/hqac012+2.0,US,Education,F,2.0,Asian
10.1093/hcr/hqab021+1.0,US,Education,F,0.0,White
10.1093/jcmc/zmab022+3.0,US,Education,F,0.0,White
10.1093/joc/jqab046+1.0,CN,Education,F,2.0,Asian
10.1093/joc/jqab052+1.0,US,Education,M,0.0,White
10.1093/joc/jqab052+18.0,US,Education,F,0.0,White
10.1093/joc/jqab054+1.0,CH,Education,M,0.0,White
10.1093/hcr/hqab020+2.0,CH,Education,F,1.0,Black
10.1093/hcr/hqab016+2.0,US,Education,F,0.0,White
10.1093/ccc/tcac005+1.0,US,Education,F,0.0,White
10.1093/hcr/hqab013+5.0,US,Education,M,0.0,White
10.1093/jcmc/zmab015+3.0,NL,Education,F,0.0,White
10.1093/joc/jqab014+2.0,US,Education,M,0.0,White
10.1093/ccc/tcab043+2.0,IN,Education,M,2.0,Asian
10.1093/joc/jqaa039+4.0,NL,Education,F,0.0,White
10.1093/ct/qtaa030+2.0,US,Education,M,0.0,White
10.1093/ct/qtz027+1.0,US,Education,F,0.0,White
10.1093/joc/jqab021+3.0,IL,Education,F,0.0,White
10.1093/hcr/hqab008+2.0,US,Education,M,0.0,White
10.1093/joc/jqab002+5.0,US,Education,M,0.0,White
10.1093/joc/jqab028+2.0,AU,Education,F,0.0,White
10.1093/ct/qtz035+1.0,DE,Education,F,0.0,White
10.1093/jcmc/zmab011+2.0,TW,Education,M,2.0,Asian
10.1093/hcr/hqab011+3.0,US,Education,M,0.0,White
10.1093/jcmc/zmaa019+1.0,US,Education,F,2.0,Asian
10.1093/ct/qtaa023+2.0,IL,Education,F,0.0,White
10.1093/joc/jqz052+36.0,US,Education,M,1.0,Black
10.1093/ct/qtz039+2.0,US,Education,M,0.0,White
10.1093/joc/jqab009+1.0,US,Education,M,0.0,White
10.1093/joc/jqab029+11.0,GE,Education,F,2.0,Asian
10.1093/hcr/hqab009+5.0,US,Education,M,0.0,White
10.1093/joc/jqab016+2.0,US,Education,F,1.0,Black
10.1093/jcmc/zmab013+1.0,US,Education,F,0.0,White
10.1093/joc/jqaa039+1.0,NL,Education,F,0.0,White
10.1093/ccc/tcab033+1.0,CA,Education,M,0.0,White
10.1093/hcr/hqab001+3.0,US,Education,F,0.0,White
10.1093/ccc/tcab057+1.0,US,Education,F,1.0,Black
10.1093/jcmc/zmab002+2.0,US,Education,M,2.0,Asian
10.1093/ct/qtaa023+1.0,IL,Education,M,0.0,White
10.1093/ct/qtaa005+5.0,US,Education,M,0.0,White
10.1093/joc/jqab029+7.0,US,Education,M,0.0,White
10.1093/hcr/hqab009+1.0,US,Education,M,0.0,White
10.1093/joc/jqab035+5.0,US,Education,M,2.0,Asian
10.1093/ct/qtz007+1.0,US,Education,F,0.0,White
10.1093/joc/jqaa041+1.0,US,Education,M,2.0,Asian
10.1093/jcmc/zmab003+3.0,SG,Education,F,2.0,Asian
10.1093/jcmc/zmab014+2.0,US,Education,M,2.0,Asian
10.1093/ccc/tcaa012+1.0,US,Education,F,0.0,White
10.1093/ct/qtaa009+2.0,CA,Education,M,0.0,White
10.1093/jcmc/zmab016+1.0,CN,Education,F,2.0,Asian
10.1093/ct/qtab002+2.0,US,Education,F,1.0,Black
10.1093/ccc/tcab036+1.0,AU,Education,M,2.0,Asian
10.1093/hcr/hqaa014+2.0,DE,Education,F,0.0,White
10.1093/ccc/tcab006+2.0,US,Education,F,0.0,White
10.1093/hcr/hqab008+5.0,US,Education,M,2.0,Asian
10.1093/hcr/hqab008+6.0,US,Education,M,0.0,White
10.1093/joc/jqab016+1.0,US,Education,F,1.0,Black
10.1093/ct/qtz008+1.0,IL,Education,M,0.0,White
10.1093/joc/jqab031+3.0,NL,Education,M,0.0,White
10.1093/joc/jqab004+2.0,US,Education,M,0.0,White
10.1093/joc/jqab003+2.0,SE,Education,M,4.0,Middle Eastern
10.1093/joc/jqab004+4.0,US,Education,M,0.0,White
10.1093/joc/jqaa041+5.0,US,Education,F,0.0,White
10.1093/joc/jqab031+5.0,US,Education,M,0.0,White
10.1093/joc/jqaa041+3.0,US,Education,M,2.0,Asian
10.1093/ccc/tcab031+1.0,US,Education,F,0.0,White
10.1093/ct/qtaa032+1.0,US,Education,F,0.0,White
10.1093/joc/jqab041+5.0,US,Education,M,3.0,Hispanic
10.1093/hcr/hqab011+2.0,US,Education,M,0.0,White
10.1093/joc/jqaa041+4.0,US,Education,M,0.0,White
10.1093/hcr/hqaa010+1.0,CN,Education,F,2.0,Asian
